ID,hour,minute,second,time_interval,x,y
675561,8,0,38,0,99,77
675561,8,1,21,0,98,77
675561,8,1,33,0,97,76
675561,8,1,45,0,96,76
675561,8,1,57,0,95,76
675561,8,2,9,0,94,77
675561,8,2,21,0,93,77
675561,8,2,33,0,92,78
675561,8,2,45,0,91,77
675561,8,2,57,0,90,78
675561,8,3,9,0,89,78
675561,8,3,21,0,88,79
675561,8,3,33,0,87,80
675561,8,3,45,0,86,81
675561,8,3,57,0,85,80
675561,8,4,9,0,84,79
675561,8,4,21,0,83,79
675561,8,4,33,0,82,79
675561,8,4,45,0,81,78
675561,8,4,57,0,80,77
675561,8,5,9,0,79,76
675561,8,5,21,0,78,76
675561,8,5,33,0,77,77
675561,8,5,45,0,76,76
675561,8,5,57,0,75,77
675561,8,6,9,0,74,76
675561,8,6,21,0,73,77
675561,8,6,33,0,72,77
675561,8,6,45,0,71,77
675561,8,6,57,0,70,76
675561,8,7,9,0,69,75
675561,8,7,21,0,68,74
675561,8,7,33,0,69,73
675561,8,7,45,0,69,72
675561,8,7,57,0,68,71
675561,8,8,9,0,68,70
675561,8,8,21,0,69,69
675561,8,8,33,0,69,68
675561,8,8,45,0,69,67
675561,8,8,57,0,69,66
675561,8,9,9,0,68,65
675561,8,9,21,0,69,64
675561,8,9,33,0,68,63
675561,8,9,45,0,68,62
675561,8,9,57,0,69,61
675561,8,10,9,0,69,60
675561,8,10,21,0,69,59
675561,8,10,33,0,69,58
675561,8,10,45,0,68,57
675561,8,10,57,0,68,56
675561,8,11,9,0,67,55
675561,8,11,21,0,66,54
675561,8,11,33,0,66,53
675561,8,11,45,0,66,52
675561,8,11,57,0,65,51
675561,8,12,9,0,66,50
675561,8,12,21,0,66,49
675561,8,12,33,0,65,48
675561,8,12,45,0,64,47
675561,8,12,57,0,65,46
675561,8,13,9,0,64,45
675561,8,13,21,0,64,44
675561,8,13,33,0,63,43
675561,8,13,45,0,62,42
675561,8,13,57,0,62,41
